,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,MIR635,MIR1255A,MIR4632,MIR8075,MIRLET7B,MIR590,Diagnosis
RNA431_FPKM,1.281924501,1.621257457,403.4558123,1.450598777,3.195521944,2.477427125,4.160207814,123.2425111,1.267189737,8.270148088,1.574935815,9.00175779,0.975623956,3.614606789,1.378068838,7.970808986,7.958007798,1
RNA44_FPKM,1.869881424,1.182425018,399.2583336,3.174960546,12.8205581,1.806851713,6.069847221,94.61046102,0.0,3.350890033,2.297282893,9.847177658,0.711547799,3.955688549,3.016212519,3.875926539,4.974347477,1
RNA442_FPKM,1.848356223,1.168813494,715.3955873,0.0,1.151874168,1.786052081,1.499609766,158.0420393,0.0,2.649310586,6.813580059,3.244053779,0.0,1.302939633,1.98698294,9.576721379,4.917016537,0
RNA454_FPKM,1.14552439,0.0,286.1972477,0.0,4.281927007,2.212785011,3.715808792,67.20468695,1.132357443,4.104026321,2.813398085,9.044478474,0.0,3.228489606,1.231438719,7.119348518,6.09181368,0
RNA457_FPKM,4.015882833,0.846844244,237.6950292,1.514762823,7.508308793,1.293505332,2.172112727,50.11249295,1.323241087,5.756098727,5.756447603,6.46117634,0.0,4.71851406,2.158842289,0.693800103,12.4619088,0
RNA466_FPKM,2.832924164,0.0,300.037954,1.068896839,4.708226635,0.91276584,3.065515462,131.8639296,0.0,2.030262318,11.60296565,10.77386809,0.0,1.331740324,1.015451997,3.914067926,10.8849389,0
RNA471_FPKM,3.785974825,0.797757653,258.5457414,2.142064704,7.078126847,1.219656147,5.118716194,56.81633203,1.247694219,4.974048277,5.426305076,11.62779659,0.0,6.226907465,1.356867463,1.961408644,7.272527735,0
RNA476_FPKM,1.046041284,1.322934565,307.8815885,2.366157321,3.909963866,1.010781465,5.090330317,79.35141128,1.034017821,1.498566303,7.70821448,11.01173497,0.0,2.947999285,0.0,4.334301894,4.63521096,0
RNA483_FPKM,0.773621577,0.0,353.8354068,1.750827779,5.78620258,1.49508889,3.76593145,114.2921959,0.0,1.108857593,4.753093178,6.789528576,0.588773943,4.36368962,3.327313335,10.42201701,6.859523716,0
RNA488_FPKM,0.840340003,1.062782945,525.3349523,1.901822112,5.235883605,1.624027871,5.452957142,136.8591766,0.0,4.816778808,5.161085268,9.584585977,0.0,4.737815221,1.806731006,4.352722515,3.724494523,0
RNA499_FPKM,2.666682505,0.0,462.1948734,1.006186331,4.430856065,0.859215294,2.884236495,121.3937617,1.757063612,1.911122462,5.459988995,7.019676511,0.0,5.011951942,0.955877014,5.525224129,8.667967344,0
RNA50_FPKM,2.591090023,0.0,429.1207841,0.0,4.306349121,1.669760616,5.606379044,161.6848419,1.708145917,2.476150745,2.122981354,3.790228946,0.0,1.218104056,0.928804343,0.895233101,4.595327672,1
